Combination_Index,C,gamma,epsilon,R2
201,0.01778279410038923,0.26366508987303583,0.05,-0.01979298831004961
202,0.01778279410038923,0.26366508987303583,0.1,-0.019792988310050053
203,0.01778279410038923,0.26366508987303583,0.2,-0.019792988310050053
204,0.01778279410038923,0.26366508987303583,0.5,-0.01979291055241994
205,0.01778279410038923,0.4832930238571752,0.001,-0.020384479072657502
206,0.01778279410038923,0.4832930238571752,0.01,-0.020384479072657502
207,0.01778279410038923,0.4832930238571752,0.05,-0.020384479072657502
208,0.01778279410038923,0.4832930238571752,0.1,-0.020384479072657502
209,0.01778279410038923,0.4832930238571752,0.2,-0.020384479072657502
210,0.01778279410038923,0.4832930238571752,0.5,-0.02038445247270282
211,0.01778279410038923,0.8858667904100823,0.001,-0.02062818093741825
212,0.01778279410038923,0.8858667904100823,0.01,-0.02062818093741825
213,0.01778279410038923,0.8858667904100823,0.05,-0.02062818093741825
214,0.01778279410038923,0.8858667904100823,0.1,-0.02062818093741825
215,0.01778279410038923,0.8858667904100823,0.2,-0.02062818093741825
216,0.01778279410038923,0.8858667904100823,0.5,-0.020628170344238583
217,0.01778279410038923,1.623776739188721,0.001,-0.020714614477366444
218,0.01778279410038923,1.623776739188721,0.01,-0.020714614477366444
219,0.01778279410038923,1.623776739188721,0.05,-0.020714614477366444
220,0.01778279410038923,1.623776739188721,0.1,-0.020714614477366444
221,0.01778279410038923,1.623776739188721,0.2,-0.020714614477366444
222,0.01778279410038923,1.623776739188721,0.5,-0.02071461235925498
223,0.01778279410038923,2.9763514416313193,0.001,-0.02074215214062991
224,0.01778279410038923,2.9763514416313193,0.01,-0.02074215214062991
225,0.01778279410038923,2.9763514416313193,0.05,-0.02074215214062991
226,0.01778279410038923,2.9763514416313193,0.1,-0.02074215214062991
227,0.01778279410038923,2.9763514416313193,0.2,-0.02074215214062991
228,0.01778279410038923,2.9763514416313193,0.5,-0.020742152034284533
229,0.01778279410038923,5.455594781168514,0.001,-0.020749977246873996
230,0.01778279410038923,5.455594781168514,0.01,-0.020749977246873996
231,0.01778279410038923,5.455594781168514,0.05,-0.020749977246873996
232,0.01778279410038923,5.455594781168514,0.1,-0.020749977246873996
233,0.01778279410038923,5.455594781168514,0.2,-0.020749977246873996
234,0.01778279410038923,5.455594781168514,0.5,-0.020749977246443674
235,0.01778279410038923,10.0,0.001,-0.02075183678574999
236,0.01778279410038923,10.0,0.01,-0.02075183678574999
237,0.01778279410038923,10.0,0.05,-0.02075183678574999
238,0.01778279410038923,10.0,0.1,-0.02075183678574999
239,0.01778279410038923,10.0,0.2,-0.02075183678574999
240,0.01778279410038923,10.0,0.5,-0.02075183678574999
241,0.03162277660168379,0.0001,0.001,-0.020678911250876952
242,0.03162277660168379,0.0001,0.01,-0.020678911250876952
243,0.03162277660168379,0.0001,0.05,-0.020678911250876952
244,0.03162277660168379,0.0001,0.1,-0.020678911250876952
245,0.03162277660168379,0.0001,0.2,-0.020678911250876952
246,0.03162277660168379,0.0001,0.5,-0.0206788592163325
247,0.03162277660168379,0.00018329807108324357,0.001,-0.0206184264966649
248,0.03162277660168379,0.00018329807108324357,0.01,-0.0206184264966649
249,0.03162277660168379,0.00018329807108324357,0.05,-0.0206184264966649
250,0.03162277660168379,0.00018329807108324357,0.1,-0.0206184264966649
251,0.03162277660168379,0.00018329807108324357,0.2,-0.0206184264966649
252,0.03162277660168379,0.00018329807108324357,0.5,-0.020618331281141877
253,0.03162277660168379,0.0003359818286283781,0.001,-0.02050885208892117
254,0.03162277660168379,0.0003359818286283781,0.01,-0.02050885208892117
255,0.03162277660168379,0.0003359818286283781,0.05,-0.02050885208892117
256,0.03162277660168379,0.0003359818286283781,0.1,-0.02050885208892117
257,0.03162277660168379,0.0003359818286283781,0.2,-0.02050885208892117
258,0.03162277660168379,0.0003359818286283781,0.5,-0.020508678311520034
259,0.03162277660168379,0.0006158482110660267,0.001,-0.020311869970696117
260,0.03162277660168379,0.0006158482110660267,0.01,-0.020311869970696117
261,0.03162277660168379,0.0006158482110660267,0.05,-0.020311869970696117
