Hyperparameters,max_depth,min_samples_split,min_samples_leaf,R2
167,9.0,2,15,0.7565434781999958
168,9.0,2,16,0.7613152010536226
169,9.0,2,17,0.7630560020930239
170,9.0,2,18,0.7592584849859608
171,9.0,2,19,0.7556259456400785
172,10.0,2,1,0.7082110103471837
173,10.0,2,2,0.7161696465848404
174,10.0,2,3,0.7352900964259116
175,10.0,2,4,0.7506419957859365
176,10.0,2,5,0.7336004279039395
177,10.0,2,6,0.7208683390571952
178,10.0,2,7,0.7316164184719306
179,10.0,2,8,0.7407027848953294
180,10.0,2,9,0.7323821761394207
181,10.0,2,10,0.7339513501204189
182,10.0,2,11,0.7342072695653001
183,10.0,2,12,0.7386588500738895
184,10.0,2,13,0.7444285588224289
185,10.0,2,14,0.7600805714288744
186,10.0,2,15,0.7624260810279709
187,10.0,2,16,0.7663628147031296
188,10.0,2,17,0.7668311597695301
189,10.0,2,18,0.7638232240603453
190,10.0,2,19,0.7625910086280911
191,11.0,2,1,0.7152498706871111
192,11.0,2,2,0.7128294232922334
193,11.0,2,3,0.7314991333058048
194,11.0,2,4,0.7374726281121787
195,11.0,2,5,0.7208129118222286
196,11.0,2,6,0.7125107867697738
197,11.0,2,7,0.7283828338420588
198,11.0,2,8,0.7323122563591212
199,11.0,2,9,0.7259779571031353
200,11.0,2,10,0.741223870814784
201,11.0,2,11,0.7398769098941687
202,11.0,2,12,0.739342929266664
203,11.0,2,13,0.7485282302714011
204,11.0,2,14,0.7643928902330661
205,11.0,2,15,0.7650933030920375
206,11.0,2,16,0.7667503012685106
207,11.0,2,17,0.7680946694031421
208,11.0,2,18,0.7640382940893449
209,11.0,2,19,0.7625185347226492
210,12.0,2,1,0.682087342912822
211,12.0,2,2,0.7089463110163479
212,12.0,2,3,0.7320376719450703
213,12.0,2,4,0.7379708328683101
214,12.0,2,5,0.7231032453295734
215,12.0,2,6,0.7146414270864146
216,12.0,2,7,0.7280838797239728
217,12.0,2,8,0.7328020069393572
218,12.0,2,9,0.727443707965944
219,12.0,2,10,0.73626437458999
220,12.0,2,11,0.736379436087641
221,12.0,2,12,0.7386416391026749
222,12.0,2,13,0.7478578599173518
223,12.0,2,14,0.7654791059385057
224,12.0,2,15,0.7651477996510306
225,12.0,2,16,0.7673854051655276
226,12.0,2,17,0.7681108832656814
227,12.0,2,18,0.764023958255423
228,12.0,2,19,0.7627606427675797
229,13.0,2,1,0.662930762690195
230,13.0,2,2,0.6939677442557515
231,13.0,2,3,0.7156045907083268
